Age,Weight
22.717943,44.581159
23.501249,45
18.535075,45
19,42.339767
19,42.096062
20.254534,41.324558
21,42
20.225396,44.641796
19.86997,42
20.147114,42
21,42
21.996523,50.890363
21.376426,50.833029
19.724106,50
23,64.106108
22.851834,63.611109
23,58.854416
18.216032,52
21.81119,51.598593
18.164768,52
18.871794,41.452385
18.766033,41.890204
18.540535,41.397378
19.88036,49.742931
19.717249,49.660995
19.633898,49.039794
23,50.287967
20.406871,53.699561
23,51.442293
19.058511,49.838965
18.827008,50
19.314964,49.932199
29.970445,49.516027
32.383858,46.655622
24.163526,49.839685
17.038222,51.588874
16.30687,50
16.198153,52.629374
18,51.457226
18,50.869704
18,52.331172
17.486869,58.943347
19.920629,57.790381
18.426619,57.145917
17.082867,43.365005
17.000433,44.411801
16.270434,47.124717
17.908114,59.682591
17.120699,58.968994
19.329542,55.700497
22.377998,54.98774
20.954955,55.01045
22.991668,54.166453
19.300435,49.649613
17.065445,49.603807
19.084967,49.597765
18.024853,50
19.833682,49.676046
17.767432,50
19.504696,42.367615
19.950605,42
19,42
17,59.409018
17,59.295172
18.525525,59.258372
22.926352,50
21.785351,49.945233
23,51.073918
17.402028,50
18,50
18.48207,50
18.53084,39.850137
19.94814,39.371523
20.400053,40.343463
19.556729,56.307019
17.70368,60
18.274358,58.621349
18,60
17.210933,58.325122
17.469417,59.612717
18,50.92538
18,51.121749
18,51.149283
19.010211,44.188767
19.091346,45
19.773303,45
19.483036,42
19,42
19.407204,42
18,51.7325
18.424941,54.121925
18,50.157707
19.97981,54.997374
21.798856,49.980968
22.209706,44.050251
23.018443,44.376637
19.376997,45
20.971429,41.557468
20.345161,41.96525
20.519916,49.815599
20.406066,63.199726
21.478496,51.256059
18.372563,40.202773
19.931667,49.026214
22.998709,53.65727
18.006742,50
34.799519,50
16.496978,50
18,51.552595
17.377131,58.83071
16.611837,43.534531
17.080493,56.029418
22.970655,55.967655
17.764764,50
19.272573,50
19,42.006282
17.06713,59.895052
23,50.079991
18,50.631889
19.054008,39.695295
18,60
17.491272,59.990861
18,52.514302
20.172661,44.661461
19.220108,42
18,52.058335
19.96247,54.98234
17.580627,55.695253
21.125098,56.265959
22.033129,51.437985
20.744839,49.803921
22.547298,51.881263
21.837996,44.236067
23.035829,42.993937
21.529439,44.00945
21.287999,42.3601
23.444286,44.594588
22.329041,44.918255
18.91505,45
19,42.12617
19.052833,42.069992
19.59904,41.706283
21,42
19.673262,44.810751
20.244359,41.952805
20.552695,42
21,42
21.997683,51.107925
21.274628,50.479039
18.909439,50
22.396504,61.411141
19.084317,61.264785
21.084625,58.585146
18.068767,52
21.813083,51.710723
18.038422,51.692272
18.874591,41.669346
19.21164,41.934368
18.988581,41.535047
19.408999,49.804245
19.665881,49.105025
19.758286,49.125955
22.422674,50.173425
20.242237,54.567343
22.637018,51.607091
19.007177,49.895716
18.288205,50
19.314429,49.713944
27.14823,49.558304
25.380557,46.062954
22.867719,50.424661
17.729923,51.216463
16.834813,50
17.521754,52.09432
18,51.524444
18,51.132809
18.128249,52.08657
17.405104,58.913579
19.72925,58.19515
18.525834,57.275946
18.595614,42.656563
16.613108,44.762023
16.928791,45.248627
17.758315,59.881316
17.282945,59.605028
19.993154,55.511075
22.935612,54.835576
20.738469,55.003417
22.99368,54.877111
19.317148,49.650897
16.910997,49.928447
19.071027,49.699672
18.019572,50.088468
19.735968,49.98297
18.094079,50
19.054938,42.541794
20.850119,42
19.349258,42
17,59.313525
17.203917,59.619485
17.671064,59.20945
21.310907,50
21.708354,50.165754
22.176922,51.491957
17.823438,50
18,50.279053
18.281092,50
18.656912,41.220175
19.994543,39.101805
20.255616,41.268597
19.865895,55.3707
17.888073,60
18.470562,58.673963
17.925497,59.933015
17.000752,58.443049
17.362129,59.243506
18,50.664459
18,51.314659
18,50.951444
19.029494,44.316254
19.269079,44.753943
19.946244,45
19.639431,42
19,42
19.434709,42
18,52.289828
18.381382,53.783977
18,50.248677
26.69858,86.963765
21.125836,70
25.191627,85.637789
21.963457,75.5771
21,68.869791
19.114981,88.965521
41.823567,82.919584
21.142432,86.413388
21.962426,75
18.836315,80
23.572648,75
33.700749,74.803157
21.845025,68.126955
21,68.226511
35.125401,62.903938
36.769646,62.337721
21.868932,78.175706
22.549208,70
21,70
21,70
30.958957,68.803694
21.017383,79.109637
19.623574,85.833029
19.637947,85
21.413642,75
21.029633,67.722222
22.667596,75.951472
20,89.652557
21.81119,66.401407
21,77.929204
18.128206,80.273807
21,75
29.08107,71.602622
26.358919,82.228794
22.717249,75
19.816949,85.079589
24.023972,64.808022
32.593129,72.748903
23,75.480764
16.941489,54.93242
16.172992,65
23.71259,62.339003
35.194089,73.193589
23.172982,88.675503
37.218161,63.320629
19.076443,69.529625
16.30687,67.183128
18.297229,70
18.610761,60.628321
17.451085,65
29.740496,87.668828
31.539393,73.641633
18.026457,80
19.47554,88.138777
19,79.544998
18,68.392133
18.270434,76.699774
19.816228,64.259379
28.39124,87.286783
26.758516,86.981202
21.033794,70
22.429812,70
26.650419,83.26312
21.618246,75
21.012542,68.653347
21.071195,68.77185
19.741202,86.522799
19.21638,86.748295
42.24475,75.62931
22.283082,89.251639
21.086512,89.558854
23.451595,75
22.740275,75.948164
18.900253,79.828725
23.170309,75.306702
32.997118,74.812707
32.501143,74.959747
21.938831,67.939653
21.909534,68.06609
21,70
37.455752,63.183846
40,62.871794
38.943282,63.011645
21.987341,78.55444
21.198217,78.88036
21,70
21,70
21,70
21,70
21,70
29.32038,69.906708
31.255587,71.927379
22.851773,79.414603
26,80
19.789291,85
19.895877,85.073801
19.693804,85
19.226314,85.255631
21.652229,75.057177
21.687409,68.016472
21.455463,68.107866
21,77.956921
21,77.965532
19.337404,87.105828
21.701643,90.52446
21.620245,66.621646
21.012569,78.370039
21.016623,78.300084
19,80.091886
21,75
21,75
27.899784,74.244004
28.825223,82.045045
26.047077,80.018571
23,75
20,85
21.832995,65.363941
30.255744,73.575981
30.613586,69.168978
23.245408,75.383716
18,55.523481
18,55.376512
16.950499,65
21.837058,63.597633
27,62.877347
35.483601,73.91692
23.801436,86.098523
23.367212,87.083266
40,62.211572
16.38009,67.913561
16.865984,67.439589
16.093234,65
18,68.818893
18.83919,69.975607
19.726522,61.10403
18.947102,60.267427
17.781183,65
33.100581,87.85785
33.251015,75.920519
18.985119,80
18.871917,80
19.478533,85.196279
19.429723,86.144904
20.979254,78.721696
18.869151,79.989789
18.236087,69.3899
20.901393,75
17.08525,57.259124
25.785925,87.032398
26.787842,87.107317
21.037514,70
21.00829,70
26.70371,85.770013
21.731497,75.399191
21.052894,75.0522
21,68.981403
19.241058,88.633616
38.939448,86.934846
39.965474,80.914382
20.261925,85.316125
20.31094,85.228116
21.420537,75
18.845518,80
23.562135,75.371244
23.118327,75
33.732714,74.885222
21.571288,68.058902
21.165574,68.908136
21,68.865008
21,69.463458
38.692265,62.341438
38.952866,62.855073
36.631456,62.417228
21.996118,78.997062
21.951309,78.429312
22.018228,70
21,70
21,70
21,70
29.934465,69.242354
31.166572,71.81338
20.534606,79.469513
19.97166,85.084364
19.627,85.302146
21.929387,75
21.009437,67.773914
21.538225,67.999778
22.828435,75.142858
22.814657,75.688433
19.576682,89.429199
21.814653,67.140367
21.979769,66.126964
21,77.97917
21.0285,78.664618
18.721041,80.113493
21,75
21,75
29.463168,71.170001
24.284861,82.329047
26.288417,82.694689
23.455324,75
19.637203,85.301029
22.239836,65.423942
31.62638,72.906186
23,75.093569
22.874658,75.828119
17.420269,53.620604
17.807828,55.822119
16.240576,65.062945
23.252457,65.127324
34.772902,73.501233
22.766227,89.754302
39.214514,62.631382
19.858973,69.575315
16.370009,66.738769
17.992717,67.193585
19.179932,70
19.621545,61.616
19.755797,63.856193
17.099015,65
17.25813,65
29.153907,87.070234
32.278869,74.147443
31.793937,73.810728
18.014333,80
19.685,89.496905
19.506389,87.656029
19,79.349221
18,68.250249
18.003153,75.816864
18.052394,75.970712
19.774317,64.726948
21.180346,89.28282
21.793724,89.068227
20.880161,80
21.18354,80.555875
32.774488,101.482054
31.327609,82.523113
29.956198,82.207978
21.403421,80
22.591439,80
28.583944,65.522744
38.825189,85.687751
35.217173,91.630257
20.392665,65.220249
22.154854,61.373868
19.108796,87.803311
20.70768,69.743323
20.634694,67.904023
22.052152,89.994415
22.869778,89.868784
22.909992,80
23,80.458343
24.679807,84.687554
23.884212,83.952968
25.461411,78.055968
31.333798,91.059595
24.108711,80.761409
28.830558,78
17.570089,83.199034
19.027574,77.272652
25.632447,96.192662
22.94313,93.086419
23.285553,85.312639
23,90
25.19291,80.749657
34.389906,83.568035
26.595893,78.574786
55.24625,80.491339
34.543563,85
21.808159,80
18.118277,80
42.189023,79.165306
22,80.539
28.770852,65.031879
25.483381,64.848627
21.67315,63.65233
23.469538,64.814109
23,81.32297
23,81.650778
38.464538,78.967919
37.496175,80
33.690239,77.426465
34.369686,77.13322
31.426573,99
34.288249,96.01851
18.863875,71.728069
18.951144,72.105856
19.671876,78
50.832559,82.130728
17.971574,85
18,85.050558
18.701766,81.384224
34.389679,77.561602
17.178483,95.277392
33.0816,83.016968
33.270448,84.75383
36.310292,83
20,74.433362
18.549437,72.467862
34.243146,92.69551
23.32012,82.011962
19.703095,78.790936
19.223259,78.073528
29.695603,93.798055
27,99.623778
21.027662,82.853749
33.015258,84.315608
18,86.963628
30.553097,88.431954
33,97.92035
24.911994,88.03748
24.444846,86.319887
19.911246,68.85097
34.204408,80.386078
34.281681,77.205685
23.384374,82.480214
43.238402,86.94538
45,79.66832
22.087389,89.802492
21.378039,80
31.398281,101.544589
31.484494,82.586893
21.709159,80
30.711381,65.912688
34.821442,90.13868
20.843363,67.083121
19.443639,87.27989
20.492077,65.140408
22.944349,89.98168
23,80.037202
24.06894,85.743727
23.728707,80
29.216019,88.096062
24.751511,83.337721
28.977792,78
17.441593,83.414072
19.126145,77.858532
24.122589,95.887056
23,90
28.824194,78
34.204611,84.416515
28.167799,78
55.137881,80.993213
34.970367,84.722222
20.986834,80.379575
38.378056,77.224574
22.18881,81.92991
21.082384,60.117993
25.293202,64.342459
23,81.66995
39.170029,79.278896
34.044229,77.098973
33.182127,97.029249
19.821996,75.090439
19.149706,78
46.491859,88.600878
17.894784,84.064875
18.88485,79.67793
38.384177,78.637307
22.675679,96.945262
33.049121,83.001642
37.205173,80.993373
19.027417,73.939268
37.492444,92.368359
24.657598,83.520113
18.011718,79.752916
27.349745,97.58826
18,86.565148
33.009285,84.773349
18,86.0805
30.079371,92.860254
25.035915,88.532032
18.198322,71.799982
35.456326,79.437921
23.806789,84.557797
39.392569,85.720788
21.384259,89.667406
22.730414,89.673648
21.20563,80
21.333429,80.005809
32.787101,99.812443
32.610018,83.390983
30.022598,83.314157
21.123048,80
22.989846,80
24.320154,65.293179
37.275298,83.282232
34.098174,91.798103
21.001282,64.696248
21.95994,62.894283
19.795269,87.861431
19.090023,70.442775
20.820455,67.473282
22.087056,89.998729
22.185756,89.836692
22.980957,80.473587
23,80.939733
24.190896,84.849349
23.94003,83.986714
26.591628,78.008388
31.264628,91.052215
23.629159,80.420434
26.208134,78.041338
17.689057,83.285753
19.16097,77.473204
25.45763,95.952027
22.988004,91.363293
23.603191,85.137113
22.882558,89.909259
23.586058,81.108599
34.432669,84.451423
25.472995,78.434492
55.022494,80.400306
34.647036,85
21.997335,80
18.181821,79.863546
41.743333,79.849252
21.473078,80.311273
27.757187,63.892071
25.113537,63.715219
21.82165,62.269912
20.670975,64.852953
22.649792,81.022119
23.154311,82.338464
38.097395,78.156035
37.642177,79.079738
34.176795,77.392179
34.231083,79.697278
31.965402,98.259423
33.185661,97.416417
18.741188,71.788181
19.955257,72.713611
19.684891,78.048207
47.7061,84.729197
17.997009,85
17.971786,85.002884
20.432717,80.790813
33.954433,77.431678
17.039058,95.419668
33.070142,83.014033
34.993835,84.783756
35.719457,83.3258
19.005725,73.513873
18.850466,72.9518
31.540751,91.495718
23.335391,82.085549
19.749627,79.621463
19.565496,78.025625
30.357745,93.614246
27,99.083478
21.380336,82.27635
33.151905,83.986895
18,86.372141
32.241587,87.906019
31.662814,98.912261
24.347414,89.393589
24.362124,85.261339
19.462713,69.936073
35.432059,80.135167
33.864257,77.355417
23.807181,82.52724
39.585811,86.464843
45.821267,80.413997
25.929746,105
26.042738,105.712219
30.551762,102.872505
39.759575,101.780099
31.386405,78.233341
25.706285,80.351263
43.604901,81.827288
42.31607,81.936398
22.654316,82
22.679935,82.603984
24.079524,97.911865
21.196152,88.472359
22.596576,87.272552
23,84.340406
37.356288,77.26813
22.754646,95
23.252906,97.813023
22.025438,87.344156
18.086772,82.13682
25.994393,107.998815
40.821515,77.74518
23,90.500055
37.955371,80
31.315593,90
22.661556,94.189167
40.317787,98.447311
23.365649,95.361795
21.72127,98.699971
35.389491,100.84763
22.061461,82.040318
23,82.532994
23,83.15115
40.951591,80
39.135634,79.58958
26.271621,90
23.779235,78
20.586978,102.910613
21.669478,96.940255
23,80.615325
20.825962,105.655037
18.178023,114.77484
18,90.032671
18.267696,93.348843
23,105.138073
23,106.49141
20.9859,103.189532
21.504943,106.038468
18,108.9606
18,108.742005
19.442663,82
22.865018,82
21.948577,105.000789
21.214617,118.560509
22.277859,116.893105
37.832949,80
37.631769,75.410647
17.6739,97.185474
37.524551,76.129784
43.510672,76.126112
18,108.395005
18,108.244379
29.506287,108.751502
18,86.242679
24.733308,91.267087
29,89.991671
18,84.493156
21.098035,96.366777
19.089595,99.204695
18.312665,82.249831
18.260079,104.741914
26.004294,105.025808
25.994746,106.042142
36.726617,100.624553
38.297259,100.066268
30.163408,78.030383
28.770039,79.713492
42.337283,86.639861
47.283374,81.978743
22.518787,82.414477
22.836315,82
23,94.790579
22.975526,95
22.720449,89.139209
23.887569,90
23,82.628
23,84.49798
38.148845,79.661693
37.96543,80
22.771612,95.324282
22.582371,95.269089
21.008051,88.126544
22.591026,87.676154
16.129279,85.583485
16.913841,85.803809
29.43879,108.602715
29.881301,108.721893
43.591999,77.354744
40.993179,79.493626
22.936098,93.638318
23,93.429205
37.597953,80
37.532066,80
31.630054,90
31.641081,89.993812
21.872484,95.564428
21.834894,94.094184
36.023972,90.575934
39.656559,98.021766
24.184891,97.449743
23.237302,97.829344
35.322112,102.265955
31.387982,105.254354
23,82.954796
23,83.1011
22.679454,82.967937
22.480889,82.470375
41.403862,81.056851
40.702771,80
29.389239,90
30.967417,90
23.474165,78
24.317607,79.109029
17.052914,99.860254
18.04892,99.430612
22.875223,82
22.884722,82
18.729566,112.875283
21.011124,118.183797
18.603496,90.671871
21.106056,92.949254
23,106.528811
21.980847,106.048516
21.016665,105.042194
21.72738,105.000276
18,109.207614
18,109.195529
19.431662,82
18.166318,82.323954
22.352025,105.000706
22.469351,105.000097
19.524698,121.657979
20.491475,120.702935
39.213399,80
38.098745,80
19.034033,98.296651
17.073648,99.544696
38.547267,75.150345
38.683794,76.642944
18,108.413119
18,108.204547
29.622804,109.411622
30.79626,109.599453
18,90.004046
18.107092,91.499683
31.335093,89.738596
29,89.048151
18.011903,84.210535
18,84.897738
21.077356,97.971598
21.052016,99.530971
18.078256,82.403076
18.063582,82.459577
20.418832,105.257543
20.580984,103.705418
26.032416,105.131956
25.955361,105.479313
26.015448,105.436173
25.920738,105.800158
29.633715,105.19936
32.895637,103.771371
38.748307,103.586342
39.685846,96.303855
33.226808,77.647716
26.220065,78.435904
23.090215,80.726195
24.565628,81.718232
42.586285,81.918809
43.719395,80.986496
43.37634,81.919454
39.648946,80.086524
22.693989,82
22.676243,82.283185
22.804818,82.636162
22.857123,82.410189
23.096353,97.959899
22.815416,98.44113
21.02064,88.129437
21.001458,88.026943
22.87795,86.002736
22.847618,85.568385
23,84.191125
23,84.134712
39.129291,77.550345
37.441044,76.202761
22.969366,95
22.735328,94.743892
23.32471,96.078462
23.668137,97.842406
21.895468,88.119139
21.3928,88.079177
18.178076,82.144405
18.907514,82.01831
26.011928,106.452367
25.696736,107.55963
40.466313,77.601483
38.445148,77.684229
24.473062,91.204753
23.479181,91.068054
38.397463,80
37.974483,80
31.783524,90
29.681308,89.994351
21.587743,94.256547
21.746113,94.454394
39.569004,100.431625
36.67933,98.790167
22.927011,95.285898
23.329344,95.290429
22.126325,98.579156
21.679158,98.182498
36.673882,101.285765
37.936044,99.199287
22.226815,83.785312
22.538932,82.012637
22.307413,82.528575
22.362877,82.368441
22.89974,82.595793
22.997168,82.46376
38.895069,80
40.789529,80
40.654155,79.760922
38.542937,79.843221
25.95383,90
26.826961,90
23.803904,78.089575
23.652435,80.535698
20.677105,102.950929
21.797388,103.605896
22.719385,96.875502
22.177099,96.738014
23.099906,78.997166
24.17851,80.553067
20.924808,105.686091
20.975973,105.619143
21.856301,115.627554
18.140751,111.235188
18,90.019501
18,90.924208
20.206358,93.890682
18.152876,92.508122
22.336216,105.055686
23,105.028665
22.088059,106.329569
23,105.966894
20.993067,104.97003
20.654752,102.921218
21.624552,106.320686
21.682636,105.496975
18,108.829395
18,108.800964
18,108.897324
18,108.934574
19.374207,82
19.275687,82.851318
22.956845,81.281578
22.829681,82.582954
22.200779,105.000576
21.688557,105.696358
20.803186,117.468516
19.515324,112.932984
21.962219,118.20313
20.534089,115.39792
39.29266,80
37.872971,80
37.613378,77.033049
37.471683,76.082517
18.611197,96.568814
17.412629,97.350366
39.12631,76.65949
37.063599,75.279605
41.318302,77.053948
43.726081,77.00103
18,108.019211
18,108.044313
18,108.316462
18,108.251044
29.409825,108.15619
28.421533,107.10819
18,89.93889
18,85.607466
23.246702,93.310284
24.481032,90.744965
29,89.424947
27.968765,89.995034
18.024744,83.121811
18.10682,82.412665
21.379676,96.710735
21.353237,95.032177
20.338815,98.572753
20.720639,99.873716
19.045357,82.193405
18.945961,82.039
18.88061,104.40682
19.850524,104.187314
30.200946,112.289883
25.314589,115.127662
37.186795,107.94747
32.707653,102.810704
27.562425,128.828122
30.421596,122.137917
26.945139,118.154345
34.139453,120.151967
26.225442,116.160329
28.363149,112.725005
27.991467,120.860386
25.498751,121.253083
30.605225,120
31.457413,128.867444
24.82929,112.256165
24.739421,117.298233
41,116.594351
27.83173,101.634313
23.260061,121.414744
22.705772,122.024954
24.041043,98.490766
20.013906,106.509947
30.02019,112.010504
25.15462,112.089022
30.870724,101.626189
28.712995,98.66176
30.710511,129.852531
29.827481,124.269251
31.86893,118.102897
36.542885,119.434645
21.556361,116.160329
23.963649,116.102615
24.145295,120.860386
25.2984,120.996074
31.755387,121.204668
30.62865,118.363376
23.454558,117.384745
23.432227,119.087557
40.50021,108.308112
34.576714,103.669116
22.276969,121.786485
21.963787,122.333425
24.001685,99.961731
20.027764,103.175516
28.704462,113.90198
26.774115,112.287678
25.539411,115.428276
25.300208,114.330023
31.194458,110.714711
40.794057,109.889334
33.55336,103.841672
30.304203,103.0344
30.958051,128.856677
29.429687,129.935666
30.520854,120.644178
30.610436,120.549592
26.740655,120.202596
26.680376,118.277657
37.056193,118.206565
28.825279,120.399758
25.883749,114.133149
25.486521,115.531622
29.883021,112.438508
26.957645,112.957922
26.490926,120.898397
27.558801,119.050381
22.908879,121.277832
24.201622,120.589419
31.689773,120.082941
30.242597,118.382361
31.346845,126.460936
30.577343,125.064264
25.124595,113.207124
25.509034,114.097656
25.478662,117.57457
25.100513,118.424156
38.523646,118.533246
38.71216,117.29188
25.717522,103.706181
32.259623,102.686239
23.47007,121.142535
24.408805,118.740035
24.443011,121.82962
22.906342,120.021161
24.007488,100.941357
30.686701,100.004418
20.184451,104.578255
25.447208,104.548794
30.002029,112.000381
30.188303,112.10074
24.244029,99.982541
24.521879,97.582959
29.721964,129.991623
29.906575,129.232216
37.084742,118.07381
39.08886,119.029103
22.658572,113.714521
22.889099,116.157766
24.63474,120.980508
24.920362,120.988454
31.783845,120
31.627962,118.548733
22.976188,121.236915
22.977357,120.431551
40.973007,109.908779
41,115.806977
21.721507,122.119682
21.544554,122.609911
24.000307,100.618239
24.0409,99.605527
29.509151,112.471118
29.246269,112.395309
25.341399,115.025361
25.314163,114.906095
40.366238,109.349025
33.749594,107.025415
32.867331,103.017623
30.403205,102.815983
29.687488,129.679131
28.992809,129.874864
30.475248,121.094257
30.350516,123.721352
26.684354,118.332689
26.607478,118.165082
33.174147,118.299585
32.29016,120.098812
26.050109,115.089316
25.846279,115.828167
29.620095,112.536367
27.439056,112.740797
28.493397,120.8158
27.474245,120.420406
25.036269,121.244969
24.825398,120.901591
30.493946,119.117122
30.607546,118.565568
31.194323,129.157346
31.36347,127.507411
25.027254,112.200812
25.058566,113.234349
24.417552,117.398976
24.5822,117.708705
40.106145,117.651046
40.174191,116.974504
27.186873,102.872802
30.424369,100.176866
23.141402,121.658729
24.178638,121.684311
22.832105,121.835883
23.083621,121.421121
24.079971,98.54302
26.947786,99.592225
20.101026,104.303711
22.789402,104.270062
28.404332,112.173731
30.003358,112.007101
25.136116,113.089716
25.139466,112.226032
31.743821,102.022057
30.796262,100.543983
28.393111,99.540122
27.93982,99.709329
31.034092,129.349471
30.684347,129.966428
30.108216,124.070717
31.347497,123.172214
31.761799,119.205308
30.976932,118.237782
37.588628,117.8972
37.997912,118.668332
21.6548,116.311962
22.829753,116.669906
25.015173,115.382519
23.812795,116.164351
23.975685,120.975489
24.149036,120.805715
25.062942,120.998266
25.140074,120.996581
30.722801,120.751656
30.916426,120.794535
31.010302,119.373019
30.605464,118.805937
24.622054,117.368716
23.745833,117.326523
23.327836,119.441207
23.411141,119.192922
39.825592,108.012603
36.839761,106.421042
33.789301,102.523111
34.161998,103.067766
22.580038,121.560938
22.851721,121.737836
23.254934,122.06261
22.343204,121.458232
24.006271,100.783434
24.001196,100.209405
20.156664,103.393354
23.360307,100.642257
28.986237,113.501549
29.713169,113.215814
27.394123,112.323213
24.912254,112.277567
25.526746,115.347176
25.523127,114.534678
25.822348,114.187096
25.879411,114.144378
30.361365,111.635463
30.451174,111.950413
40.564513,109.758736
40.501722,111.169678
30.315784,103.743534
33.293166,103.250355
30.638944,102.004554
29.791101,102.592171
31.205668,127.161381
30.899219,129.013178
29.669219,129.19449
30.595632,129.232708
30.554956,120.60094
31.571392,120.158049
30.577944,120.613561
30.717727,120.344402
26.734476,119.622764
26.699317,119.956651
25.659092,117.631707
26.348156,117.75701
37.638102,118.114184
37.765356,117.86159
28.255199,120.699119
27.931432,119.484614
25.492855,114.163921
25.550506,114.254278
25.542454,115.10813
25.758307,115.45845
29.981494,112.348722
29.891473,112.409191
26.778684,113.15464
28.377958,113.235538
26.199321,121.065052
27.266287,120.872294
27.635029,120.423567
26.899886,119.841446
22.758998,121.284533
22.771001,121.527369
23.826684,120.921535
24.186273,120.919703
30.945369,120.009392
31.490699,120.209711
31.56724,118.26569
30.444081,118.370628
31.199261,125.077863
31.190219,125.973927
30.575349,124.95278
30.702559,126.418413
25.057878,113.069667
25.151286,112.835195
25.137087,114.067936
25.3292,114.004832
25.66668,117.93329
25.01277,117.849351
25.047945,118.332966
25.426457,118.377601
37.207082,118.40174
38.10894,119.201465
38.644441,117.792268
38.112989,118.134898
24.825393,101.038263
26.624342,103.180918
33.722449,103.276087
32.516469,102.784864
23.881938,121.04172
23.319635,121.248035
23.912387,119.081804
24.982997,118.436166
24.511445,121.310257
24.05331,121.471077
22.906886,120.775439
23.147644,120.337664
24.001889,100.245302
24.002404,100.078367
30.71516,101.141277
